0 qid:10280 1:10.316691 2:0.0 8:2005.0 9:1.0 10:0.0 16:21.423681 20:0.0 24:0.0 30:16.0 31:22.0 34:65.0 35:8.0 36:947.0 37:153.0 40:20.0 41:3.0 42:23.0 43:4.0 46:16.0 47:2.0 #docid = 5903db2cc164adea2e9c8e01ffc7354763e93356
0 qid:10280 1:9.01905 2:6.633161500000001 8:2014.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:72.0 31:103.0 34:99.0 35:12.0 36:1969.0 37:299.0 40:14.0 41:2.0 42:186.0 43:33.0 46:16.0 47:2.0 #docid = 57b6dfe603cb6f1ec9f906b3a959b4809a56344c
1 qid:10280 1:9.958489 2:10.773388 8:2013.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:124.0 31:67.0 34:87.0 35:10.0 36:1816.0 37:202.0 40:24.0 41:4.0 42:192.0 43:34.0 46:8.0 47:1.0 #docid = f7bd31dfda382aae11db6dfd2dd0557133101cff
1 qid:10280 1:8.74409 2:11.971127000000001 8:2015.0 9:1.0 10:2.0 16:21.423681 20:0.0 24:19.005363 30:50.0 31:76.0 34:121.0 35:15.0 36:979.0 37:143.0 40:33.0 41:4.0 42:61.0 43:8.0 46:16.0 47:2.0 #docid = 09e8d6985e74029c794e543bde68fba0d07133a4
1 qid:10280 1:8.74409 2:7.8406649999999996 8:2005.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:395.0 31:28.0 34:96.0 35:14.0 36:1333.0 37:198.0 40:15.0 41:2.0 42:286.0 43:51.0 46:8.0 47:1.0 #docid = 1596ce185642a780f3bde1399ef49e70ea91da55
0 qid:10280 1:8.825991 2:8.7307 8:2017.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.433749 30:30.0 31:39.0 34:114.0 35:15.0 36:1084.0 37:159.0 40:12.0 41:1.0 42:235.0 43:37.0 46:8.0 47:1.0 #docid = c7a3699cbb6e8ea60edabb60c0407883e6ed33f2
0 qid:10280 1:12.028796 2:0.0 8:2007.0 9:1.0 10:0.0 16:21.423681 20:0.0 24:0.0 30:15.0 31:11.0 34:41.0 35:7.0 36:1437.0 37:218.0 40:31.0 41:4.0 42:45.0 43:6.0 46:8.0 47:1.0 #docid = 964b454c92d1733c1d8265018e506bcdece934de
1 qid:10280 1:11.562586999999999 2:14.98896 8:1990.0 9:1.0 10:4.0 16:21.423681 20:0.0 24:37.734997 30:51.0 31:0.0 34:70.0 35:8.0 36:852.0 37:118.0 40:36.0 41:5.0 42:57.0 43:11.0 46:16.0 47:2.0 #docid = 0883900808aa6fccc06c11e27521ee43af376d7a
1 qid:10280 1:20.316698000000002 2:25.329947 8:2004.0 9:2.0 10:9.0 16:21.423681 20:0.0 24:84.97267 30:108.0 31:30.0 34:83.0 35:11.0 36:994.0 37:137.0 40:51.0 41:5.0 42:61.0 43:11.0 46:16.0 47:2.0 #docid = 1854d80a095c32aaa524e50d07756a51493d5917
0 qid:10280 1:11.116391 2:6.633161500000001 8:2013.0 9:1.0 10:1.0 16:21.423681 20:0.0 24:9.502682 30:647.0 31:29.0 34:66.0 35:8.0 36:1925.0 37:288.0 40:35.0 41:6.0 42:302.0 43:48.0 46:8.0 47:1.0 #docid = 84dda3af6c990fb7344ce32af95dcc60b7346f19
1 qid:103210 1:18.675272 2:0.0 8:2018.0 9:2.0 10:0.0 16:17.994713 20:15.223759 24:0.0 30:5.0 31:38.0 34:55.0 35:8.0 36:0.0 37:0.0 40:0.0 41:0.0 42:18.0 43:3.0 46:8.0 47:1.0 #docid = 6e4a220f80119d4c7faccae2c66987529eb580bb
0 qid:103210 1:15.643706 2:20.685026 8:2017.0 9:2.0 10:28.0 16:17.994713 20:32.36933 24:175.92803999999998 30:1.0 31:2.0 34:95.0 35:13.0 36:1889.0 37:275.0 40:0.0 41:0.0 42:36.0 43:5.0 46:0.0 47:0.0 #docid = c1d79c8821ba32a670f4b4c6ea0fb8a01d46bb35
0 qid:103210 1:10.008867 2:8.67983 8:2009.0 9:1.0 10:5.0 16:17.994713 20:15.223759 24:26.98143 30:892.0 31:0.0 34:31.0 35:4.0 36:329.0 37:50.0 40:0.0 41:0.0 42:15.0 43:3.0 46:11.0 47:1.0 #docid = e05d314a6475d879c74219e57b43b85ce8b53e9a
0 qid:103210 1:10.218085 2:4.5340595 8:1976.0 9:1.0 10:1.0 16:17.994713 20:15.223759 24:7.170002 30:664.0 31:0.0 34:52.0 35:8.0 36:2126.0 37:318.0 40:18.0 41:3.0 42:33.0 43:5.0 46:9.0 47:1.0 #docid = 2b47eb770a28142aec1b3d66fd8b4bbc5eabdf2a
0 qid:103210 1:15.643706 2:19.624385999999998 8:2018.0 9:2.0 10:29.0 16:17.994713 20:0.0 24:183.09804 30:3.0 31:2.0 34:88.0 35:13.0 36:2710.0 37:438.0 40:34.0 41:5.0 42:59.0 43:7.0 46:8.0 47:1.0 #docid = f05c4887482462d5c83d6e77d6f4bbbc612bce95
1 qid:103210 1:8.141637 2:7.424589 8:2001.0 9:1.0 10:3.0 16:17.994713 20:32.36933 24:16.188858 30:160.0 31:44.0 34:62.0 35:9.0 36:750.0 37:116.0 40:28.0 41:4.0 42:38.0 43:7.0 46:18.0 47:2.0 #docid = cb567af6173f72704e33cd3d7f6077187039c509
0 qid:103210 1:15.643706 2:17.627733 8:2018.0 9:2.0 10:7.0 16:17.994713 20:15.223759 24:44.868866 30:4.0 31:0.0 34:89.0 35:13.0 36:1023.0 37:160.0 40:22.0 41:3.0 42:20.0 43:3.0 46:9.0 47:1.0 #docid = f71d3a7f399a2b83e65effe6c2e273943d2dc970
0 qid:103210 1:16.730024 2:17.702072 8:2017.0 9:2.0 10:10.0 16:17.994713 20:15.223759 24:66.378876 30:7.0 31:8.0 34:76.0 35:11.0 36:1438.0 37:219.0 40:0.0 41:0.0 42:45.0 43:7.0 46:8.0 47:1.0 #docid = cd59fc010df734b903f615e80ad539427373dbf5
0 qid:103210 1:0.0 2:0.0 8:1992.0 9:0.0 10:0.0 16:17.994713 20:0.0 24:0.0 30:930.0 31:0.0 34:28.0 35:4.0 36:1461.0 37:201.0 40:0.0 41:0.0 42:14.0 43:2.0 46:9.0 47:1.0 #docid = baa776c75062e0506a8e739fda10dc409e340aad
0 qid:103210 1:9.569908999999999 2:8.564538 8:2007.0 9:1.0 10:4.0 16:17.994713 20:15.223759 24:21.585144 30:529.0 31:18.0 34:39.0 35:5.0 36:325.0 37:40.0 40:0.0 41:0.0 42:14.0 43:2.0 46:11.0 47:1.0 #docid = db12486a74e9062d7c0cd042750f3e478cd77fed
0 qid:103210 1:17.97847 2:13.935715 8:2018.0 9:2.0 10:5.0 16:17.994713 20:15.223759 24:28.755146000000003 30:4.0 31:42.0 34:60.0 35:9.0 36:1120.0 37:155.0 40:0.0 41:0.0 42:28.0 43:5.0 46:0.0 47:0.0 #docid = 0784ce0e17170dd2fe12bf99798af8cc904329dd
0 qid:103210 1:15.643706 2:18.106207 8:2017.0 9:2.0 10:15.0 16:17.994713 20:0.0 24:91.586586 30:2.0 31:13.0 34:81.0 35:13.0 36:2051.0 37:330.0 40:30.0 41:4.0 42:18.0 43:3.0 46:11.0 47:1.0 #docid = 0a6e383455399505382050ebb2b578f04f9f3224
0 qid:103210 1:11.076699000000001 2:12.014634 8:2004.0 9:1.0 10:8.0 16:17.994713 20:15.223759 24:57.360016 30:797.0 31:0.0 34:44.0 35:6.0 36:947.0 37:136.0 40:0.0 41:0.0 42:14.0 43:3.0 46:8.0 47:1.0 #docid = 89e82f03c1e4681c058c8cf97774422064b8b7ae
0 qid:103210 1:12.418314 2:19.580236 8:2017.0 9:2.0 10:11.0 16:17.994713 20:32.36933 24:70.00144 30:4.0 31:0.0 34:154.0 35:20.0 36:986.0 37:140.0 40:0.0 41:0.0 42:56.0 43:8.0 46:8.0 47:1.0 #docid = 53146416804c480083bb9a28c677079c736903fc
0 qid:103210 1:17.97847 2:18.45524 8:2020.0 9:2.0 10:8.0 16:17.994713 20:0.0 24:50.265152 30:1.0 31:32.0 34:66.0 35:9.0 36:852.0 37:136.0 40:0.0 41:0.0 42:63.0 43:8.0 46:8.0 47:1.0 #docid = c8be02b242d8dddfdc33fd282fcb86cc17e2c87f
1 qid:103210 1:18.675272 2:18.91236 8:2019.0 9:2.0 10:8.0 16:17.994713 20:0.0 24:52.038868 30:1.0 31:20.0 34:56.0 35:8.0 36:800.0 37:117.0 40:42.0 41:4.0 42:37.0 43:4.0 46:8.0 47:1.0 #docid = d7ae34e34cbbe783bb950d0bc2285c8ce214e336
0 qid:103210 1:9.483007 2:11.262015 8:1998.0 9:1.0 10:4.0 16:17.994713 20:15.223759 24:28.680008 30:878.0 31:38.0 34:67.0 35:9.0 36:677.0 37:94.0 40:20.0 41:3.0 42:54.0 43:8.0 46:8.0 47:1.0 #docid = 10e67924be61034e54ba6dedb559b03ee8c2c7e3
0 qid:103210 1:0.0 2:8.462530000000001 8:1976.0 9:0.0 10:1.0 16:17.994713 20:15.223759 24:7.170002 30:2390.0 31:5.0 34:45.0 35:7.0 36:366.0 37:57.0 40:26.0 41:4.0 42:15.0 43:3.0 46:9.0 47:1.0 #docid = 31e0238fe3ce96fb50c276bea35177cb3bfa0e95
0 qid:103210 1:0.0 2:6.659418 8:1993.0 9:0.0 10:1.0 16:17.994713 20:15.223759 24:7.170002 30:530.0 31:0.0 34:30.0 35:4.0 36:895.0 37:143.0 40:30.0 41:5.0 42:36.0 43:6.0 46:9.0 47:1.0 #docid = 0644180d81a38f5d0cebdd84bf8cf7748167f71e
0 qid:103210 1:11.562489999999999 2:6.387233 8:1993.0 9:1.0 10:1.0 16:17.994713 20:32.36933 24:7.170002 30:3107.0 31:58.0 34:40.0 35:5.0 36:1043.0 37:151.0 40:28.0 41:3.0 42:34.0 43:6.0 46:8.0 47:1.0 #docid = 1d35850028ff93cad9418034689d585c9deba80e
0 qid:104170 1:0.0 2:0.0 8:2006.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:251.0 31:14.0 34:147.0 35:19.0 36:1908.0 37:281.0 40:29.0 41:4.0 42:48.0 43:9.0 46:8.0 47:1.0 #docid = 44e6c47ff5ec31fb6d26b6b2b1bf4e0cb119d2fe
0 qid:104170 1:0.0 2:0.0 8:1989.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:294.0 31:0.0 34:47.0 35:5.0 36:1587.0 37:212.0 40:0.0 41:0.0 42:48.0 43:8.0 46:7.0 47:1.0 #docid = 58c2cd72eb589771a51874f8c89d68e492bd735f
0 qid:104170 1:0.0 2:0.0 8:1991.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:550.0 31:0.0 34:29.0 35:4.0 36:1220.0 37:157.0 40:0.0 41:0.0 42:54.0 43:9.0 46:10.0 47:1.0 #docid = ca04621a7227c4e489e7189a75d2a08d1427ecb8
0 qid:104170 1:0.0 2:0.0 8:1996.0 9:0.0 10:0.0 16:10.071369 20:0.0 24:0.0 30:385.0 31:0.0 34:63.0 35:6.0 36:496.0 37:69.0 40:51.0 41:6.0 42:110.0 43:18.0 46:10.0 47:1.0 #docid = 5c156441fcca52ad929db47b3ee24d581215445b
0 qid:104170 1:11.985211999999999 2:10.936943 8:1988.0 9:1.0 10:1.0 16:10.071369 20:0.0 24:8.461303 30:145.0 31:0.0 34:36.0 35:4.0 36:289.0 37:34.0 40:0.0 41:0.0 42:30.0 43:5.0 46:10.0 47:1.0 #docid = bad0b4d8f9d0dad026a8f20838b64b906968e393
0 qid:104170 1:13.137561999999999 2:13.342274 8:1994.0 9:1.0 10:3.0 16:10.071369 20:15.908809 24:25.383907 30:208.0 31:0.0 34:26.0 35:3.0 36:524.0 37:72.0 40:0.0 41:0.0 42:11.0 43:2.0 46:10.0 47:1.0 #docid = 5be31907dbaf33330294e661c9b5c9116db81988
0 qid:104170 1:11.481661 2:14.417028 8:2002.0 9:1.0 10:10.0 16:10.071369 20:15.908809 24:84.61303000000001 30:408.0 31:0.0 34:57.0 35:6.0 36:1426.0 37:203.0 40:43.0 41:6.0 42:30.0 43:5.0 46:8.0 47:1.0 #docid = bf56f404e6a335222941fdb7ebe2dfa0053955be
0 qid:104170 1:12.534958 2:8.603071 8:2010.0 9:1.0 10:1.0 16:10.071369 20:15.908809 24:8.461303 30:100.0 31:5.0 34:41.0 35:4.0 36:723.0 37:111.0 40:0.0 41:0.0 42:23.0 43:4.0 46:10.0 47:1.0 #docid = 5c460e4905c5b3929b0655b615452b3cc3d1531d
0 qid:104170 1:0.0 2:0.0 8:2005.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:639.0 31:63.0 34:55.0 35:7.0 36:867.0 37:118.0 40:32.0 41:4.0 42:88.0 43:16.0 46:10.0 47:1.0 #docid = 69b3e3ae4ce2351a85d1ed1c7f66526bd1437713
1 qid:104170 1:0.0 2:15.574579 8:1990.0 9:0.0 10:12.0 16:10.071369 20:0.0 24:101.53563 30:725.0 31:0.0 34:56.0 35:7.0 36:578.0 37:59.0 40:0.0 41:0.0 42:25.0 43:5.0 46:10.0 47:1.0 #docid = caeff48bca04842c41ce47e5b530e9fe9302d11c
0 qid:104170 1:11.985211999999999 2:12.089328 8:2006.0 9:1.0 10:8.0 16:10.071369 20:15.908809 24:67.69041999999999 30:392.0 31:0.0 34:44.0 35:5.0 36:3245.0 37:472.0 40:43.0 41:6.0 42:44.0 43:7.0 46:8.0 47:1.0 #docid = c73f4d72e228c1a1eba90026b6735797891e7820
0 qid:104170 1:0.0 2:0.0 8:2005.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:729.0 31:0.0 34:60.0 35:6.0 36:1282.0 37:169.0 40:32.0 41:4.0 42:18.0 43:3.0 46:10.0 47:1.0 #docid = 510c676c863c9dfc9f18b2bd949afa2cd623c7ab
0 qid:104170 1:11.481661 2:11.636953 8:2000.0 9:1.0 10:2.0 16:10.071369 20:15.908809 24:16.922606 30:502.0 31:0.0 34:53.0 35:6.0 36:791.0 37:96.0 40:0.0 41:0.0 42:11.0 43:2.0 46:10.0 47:1.0 #docid = 70537328203ec68a1d561789bcc2e4406b1c8990
1 qid:104170 1:12.534958 2:13.887304 8:2010.0 9:1.0 10:10.0 16:10.071369 20:15.908809 24:84.61303000000001 30:70.0 31:12.0 34:34.0 35:4.0 36:2254.0 37:317.0 40:0.0 41:0.0 42:44.0 43:6.0 46:20.0 47:2.0 #docid = fe23c4a3181c74f1e942e5c25a406ea6b5ab8fee
0 qid:104170 1:11.018717 2:0.0 8:1995.0 9:1.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:95.0 31:0.0 34:55.0 35:7.0 36:292.0 37:34.0 40:0.0 41:0.0 42:42.0 43:6.0 46:10.0 47:1.0 #docid = 858ab00d6ed20d7fb420ca6fe0a504092019e558
0 qid:104170 1:0.0 2:0.0 8:1997.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:349.0 31:0.0 34:53.0 35:7.0 36:551.0 37:73.0 40:0.0 41:0.0 42:34.0 43:6.0 46:10.0 47:1.0 #docid = e64129ff672dbd2d9515d3667dda36e58c14012b
0 qid:104170 1:13.137561999999999 2:14.9990835 8:1981.0 9:1.0 10:11.0 16:10.071369 20:0.0 24:93.07433 30:152.0 31:0.0 34:29.0 35:3.0 36:1105.0 37:138.0 40:0.0 41:0.0 42:10.0 43:3.0 46:8.0 47:1.0 #docid = c2407b31bdcb078b7c131826e457b5005383bccd
0 qid:104170 1:0.0 2:0.0 8:2002.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:571.0 31:109.0 34:88.0 35:9.0 36:1944.0 37:256.0 40:39.0 41:5.0 42:62.0 43:10.0 46:8.0 47:1.0 #docid = 18c53bc744cffbad651b23d6facdad17cc95b3d3
0 qid:104170 1:0.0 2:0.0 8:1992.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:550.0 31:0.0 34:77.0 35:10.0 36:603.0 37:82.0 40:37.0 41:5.0 42:54.0 43:8.0 46:10.0 47:1.0 #docid = fd72da3e66188f4844940f028ace48cf4dc2af78
1 qid:104170 1:0.0 2:0.0 8:2002.0 9:0.0 10:0.0 16:10.071369 20:15.908809 24:0.0 30:862.0 31:0.0 34:54.0 35:7.0 36:6658.0 37:807.0 40:0.0 41:0.0 42:25.0 43:5.0 46:10.0 47:1.0 #docid = 22a72983570c18d27f0bc956e9bf4d0098cfd145
0 qid:104830 1:0.0 2:7.713356 8:2005.0 9:0.0 10:1.0 16:27.555322999999998 20:30.444941999999998 24:7.8419414000000005 30:354.0 31:21.0 34:72.0 35:11.0 36:798.0 37:120.0 40:0.0 41:0.0 42:15.0 43:2.0 46:27.0 47:3.0 #docid = a74d19e842c576920741d99c1a55c5c9657b9007
0 qid:104830 1:0.0 2:0.0 8:2006.0 9:0.0 10:0.0 16:9.813152 20:30.444941999999998 24:0.0 30:1269.0 31:41.0 34:35.0 35:6.0 36:1045.0 37:175.0 40:20.0 41:3.0 42:31.0 43:4.0 46:26.0 47:3.0 #docid = e4d1b878ad0df0016546e403fb4237590cc9951a
0 qid:104830 1:0.0 2:0.0 8:2000.0 9:0.0 10:0.0 16:9.813152 20:30.444941999999998 24:0.0 30:294.0 31:17.0 34:67.0 35:9.0 36:888.0 37:129.0 40:0.0 41:0.0 42:58.0 43:8.0 46:16.0 47:2.0 #docid = 290cdb5f9a6f0917e3e0ee4511fcafed3c3edb4b
0 qid:104830 1:0.0 2:28.097237 8:2001.0 9:0.0 10:3.0 16:9.813152 20:30.444941999999998 24:37.180015999999995 30:233.0 31:29.0 34:64.0 35:9.0 36:830.0 37:121.0 40:51.0 41:5.0 42:15.0 43:2.0 46:16.0 47:2.0 #docid = 9d85418bc8ca233e7244983153fd5d6342ab387d
