paper_sha,min_hindex,avg_hindex,max_hindex,min_authorpapers,avg_authorpapers,max_authorpapers,min_i10index,avg_i10index,max_i10index,min_numcitations,avg_numcitations,max_numcitations,num_hclass_L,num_hclass_H
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,3.0,34.333333333333336,62.0,7.0,237.66666666666666,368.0,2.0,93.33333333333333,152.0,567.0,7843.0,16054.0,1,2
692a1b4effb08cd1882656eda1efa3d308b2efb0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,142.0,142.0,142.0,3,0
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,1.0,6.214285714285714,20.0,2.0,33.0,120.0,1.0,6.285714285714286,33.0,108.0,401.2857142857143,1395.0,11,3
380083e983c36b190ebd9880b0aed12c33de0000,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,91.0,91.0,91.0,1,0
28726ecac3fe563562ab303e8f510ca5f0b5e2ab,10.0,43.0,79.0,26.0,124.33333333333333,232.0,10.0,74.0,146.0,1301.0,12993.0,29411.0,0,3
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,2.0,11.333333333333334,16.0,2.0,39.666666666666664,69.0,1.0,17.333333333333332,29.0,18.0,457.6666666666667,862.0,1,2
9cd72004f983c1b55766685182c4a96116604d59,9.0,36.75,49.0,25.0,250.75,362.0,9.0,124.25,187.0,659.0,6883.5,10843.0,1,3
36b35b82811da487b85539c634e9c361b115bc44,7.0,9.666666666666666,12.0,9.0,18.0,27.0,5.0,9.333333333333334,13.0,315.0,649.3333333333334,1064.0,1,2
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,5.0,17.666666666666668,42.0,13.0,91.33333333333333,243.0,4.0,39.0,109.0,126.0,4416.0,12922.0,2,1
a4592975c28861b8aae4870e23612388cdfda67a,26.0,26.0,26.0,223.0,223.0,223.0,51.0,51.0,51.0,4516.0,4516.0,4516.0,0,1
b50f2b3c0895407b1a3bbda404304d00a628936b,45.0,60.5,76.0,720.0,1099.5,1479.0,312.0,464.5,617.0,10717.0,19387.0,28057.0,0,2
fa04d8f27007cd5ce58071792b0e6db099f1c239,13.0,28.5,44.0,48.0,198.5,349.0,15.0,75.5,136.0,974.0,3690.5,6407.0,0,2
7ffdbc358b63378f07311e883dddacc9faeeaf4b,59.0,59.0,59.0,103.0,103.0,103.0,75.0,75.0,75.0,71821.0,71821.0,71821.0,0,1
7ee9f9cc1051da074b84d69f523e21f44f930d6e,2.0,2.0,2.0,16.0,16.0,16.0,0.0,0.0,0.0,3.0,3.0,3.0,1,0
3c8bb99f8f166c8dc71b46c81989c28bc7385e31,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0
ccaea944996c0935897cd6eb248d5f01367cd3c4,13.0,13.0,13.0,264.0,264.0,264.0,21.0,21.0,21.0,738.0,738.0,738.0,0,1
3e88fbfee7844394bc96f62b36bed5a0396ba669,53.0,53.0,53.0,457.0,457.0,457.0,224.0,224.0,224.0,11968.0,11968.0,11968.0,0,1
9dfb86bb669f6ca0609ac51a3cad89aee21e6fde,6.0,7.0,8.0,25.0,40.5,56.0,5.0,5.5,6.0,213.0,243.5,274.0,2,0
643cc46616580faba24162bfca4bba175fb70384,4.0,8.4,22.0,6.0,30.6,86.0,1.0,10.4,36.0,87.0,527.8,1812.0,4,1
2b6e88523431592bce1f08814bc19c4521612200,17.0,31.0,45.0,43.0,106.0,169.0,23.0,51.5,80.0,2217.0,4984.5,7752.0,0,2
d490be04b6c7c9206101ee7aa8b5bd815552f750,3.0,15.5,28.0,26.0,115.5,205.0,1.0,30.5,60.0,29.0,1248.5,2468.0,1,1
7bd9a25227ca4378b86a78994817988863a54b60,62.0,62.0,62.0,321.0,321.0,321.0,140.0,140.0,140.0,36371.0,36371.0,36371.0,0,1
0fe5ef2c3c3a0f2180d8a9de9837ba2f4ac27ba2,1.0,16.0,28.0,7.0,96.33333333333333,146.0,1.0,31.333333333333332,57.0,1301.0,3551.3333333333335,4729.0,1,2
aee8a6d55b68e137d80790159c2253639ecb7d25,,,,,,,,,,,,,0,0
d29d4849a045844648ef02b1adbfff431ef8eae8,5.0,5.0,5.0,29.0,29.0,29.0,0.0,0.0,0.0,39.0,39.0,39.0,1,0
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,1.0,16.0625,51.0,1.0,73.25,367.0,1.0,34.3125,188.0,158.0,1801.75,8482.0,8,8
3d068033ba04731495ddb6b0ae13f8dd125c7f91,11.0,29.90909090909091,72.0,17.0,96.36363636363636,403.0,11.0,55.72727272727273,223.0,600.0,3642.6363636363635,15811.0,0,11
98ab45160269f7c1545f7924f989d5da1895e9a5,2.0,12.666666666666666,24.0,3.0,77.0,117.0,1.0,20.666666666666668,48.0,327.0,1407.3333333333333,3021.0,1,2
69565e112703ca7a8d10c3eaa51efed9d7685440,20.0,21.5,23.0,343.0,344.0,345.0,73.0,74.5,76.0,2142.0,2142.0,2142.0,0,2
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,1.0,7.75,24.0,2.0,51.0,192.0,1.0,14.5,55.0,16.0,506.0,1961.0,3,1
3ce8a97bbf8be946e70824e07b65b1a81d506eb4,12.0,37.5,63.0,50.0,465.0,880.0,12.0,145.0,278.0,672.0,7496.0,14320.0,0,2
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,1.0,9.0,24.0,1.0,26.0,75.0,1.0,13.0,37.0,77.0,771.6666666666666,2158.0,2,1
a7595cdcad294e5659273910f47dc6e107e25090,13.0,13.0,13.0,85.0,85.0,85.0,14.0,14.0,14.0,615.0,615.0,615.0,0,1
8083dda27e1a60fa47702ef17d917dba725c28d1,4.0,16.5,29.0,4.0,28.5,53.0,4.0,20.5,37.0,862.0,2647.0,4432.0,1,1
79ac20db30bb4567d2d75ecc827affaf10031293,4.0,16.5,32.0,5.0,84.75,192.0,3.0,30.25,72.0,171.0,1395.5,3825.0,1,3
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,2.0,9.625,24.0,9.0,47.375,142.0,1.0,11.625,46.0,34.0,406.875,1830.0,4,4
cbc33164f9db97698901f130f399f2898d856267,7.0,18.0,29.0,27.0,225.71428571428572,838.0,6.0,40.857142857142854,110.0,206.0,1420.857142857143,4200.0,1,6
b656c3ff78af97ba78eed50f048cd5aa972151b3,1.0,4.0,6.0,1.0,10.666666666666666,16.0,1.0,2.6666666666666665,5.0,61.0,156.33333333333334,231.0,3,0
03a10e26c7177c949d3fac0b3ff101f5b9e7b77e,,,,,,,,,,,,,0,0
03ad72b1a3b1db254893eb928ea8757d910fb35e,26.0,26.0,26.0,80.0,80.0,80.0,40.0,40.0,40.0,3959.0,3959.0,3959.0,0,1
19d1a4c1d4aa252c1881ec231a822bd0ec10411a,19.0,19.0,19.0,167.0,167.0,167.0,34.0,34.0,34.0,1408.0,1408.0,1408.0,0,1
11d945d4cfad930d27d6e124e43e18a82d4c8842,,,,,,,,,,,,,0,0
08789c959ee9987917d3effb1e5e1b41f8ecab4e,4.0,8.454545454545455,18.0,6.0,63.54545454545455,265.0,0.0,8.090909090909092,32.0,29.0,334.8181818181818,1109.0,7,4
31d3abf628a948e05b572e1cd593196f30cce4c1,2.0,7.0,12.0,10.0,15.5,21.0,2.0,7.0,12.0,362.0,575.0,788.0,1,1
24d449ee91a0ad3fb01b45db42b5672f0f782eef,8.0,15.2,37.0,11.0,50.2,116.0,5.0,23.4,78.0,190.0,1241.6,4707.0,3,2
76e199fcf5537c4e8ef774d792afd2978aa11ebb,37.0,37.0,37.0,230.0,230.0,230.0,90.0,90.0,90.0,4865.0,4865.0,4865.0,0,1
d989fc3fb22636d16a911773184d27777018debc,15.0,30.4,47.0,80.0,190.0,582.0,18.0,80.6,232.0,920.0,4410.2,10714.0,0,5
c3e51cc7514d1d6e2416ff00564e87914c5588ee,36.0,44.666666666666664,57.0,161.0,438.3333333333333,610.0,83.0,141.33333333333334,220.0,4567.0,7541.0,12201.0,0,3
e85e2d03cd167d1d5b10a67b5aa6bc9e53f3eaf8,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,1459.0,1459.0,1459.0,1,0
6c1550947e95b83be1b7014b56115e4b74a27762,1.0,7.928571428571429,26.0,2.0,34.82142857142857,143.0,1.0,8.571428571428571,45.0,141.0,1045.5,3371.0,19,9
c2de322afec35af1813eccd5bd116d9d3896e8f5,2.0,10.714285714285714,32.0,3.0,54.42857142857143,169.0,0.0,19.428571428571427,69.0,11.0,748.4285714285714,2881.0,5,2
bcd41049a43f1ec39d5bf964e62ff18c23e81a74,8.0,8.0,8.0,33.0,33.0,33.0,6.0,6.0,6.0,472.0,472.0,472.0,1,0
f6867be9a28578162f024790f5975d7ad1a18e52,9.0,14.5,20.0,74.0,98.0,122.0,9.0,24.0,39.0,611.0,1081.5,1552.0,1,1
bde955849831041bfd5ea7cd404de1d314e776a7,34.0,34.0,34.0,126.0,126.0,126.0,68.0,68.0,68.0,5431.0,5431.0,5431.0,0,1
33a75a434290ead957b7f935d73da9ba952d48d1,8.0,8.0,8.0,11.0,11.0,11.0,7.0,7.0,7.0,378.0,378.0,378.0,1,0
4106cc16aac157c0c60747ea9641fee7e819e4c4,2.0,2.0,2.0,16.0,16.0,16.0,0.0,0.0,0.0,7.0,7.0,7.0,1,0
01c388973b8c55ed23235604145de357c35a6f02,6.0,11.142857142857142,22.0,22.0,128.85714285714286,382.0,3.0,15.285714285714286,49.0,99.0,640.0,1764.0,3,4
695bd9bb89df717227357a4ee8d15843a11f3609,19.0,29.666666666666668,35.0,109.0,125.0,157.0,39.0,51.666666666666664,58.0,2875.0,6019.666666666667,7592.0,0,3
10f39897f091090acc385b8fac5d14e30152abc2,5.0,9.2,16.0,11.0,44.2,94.0,4.0,12.0,31.0,630.0,1076.0,1613.0,4,1
af318eaecf3dd136564def9d4841e0005f99cc95,11.0,11.0,11.0,56.0,56.0,56.0,11.0,11.0,11.0,433.0,433.0,433.0,0,1
153550ab4a88092f8eac151479e36e053e9e37e9,6.0,18.0,35.0,21.0,160.33333333333334,362.0,4.0,44.333333333333336,108.0,105.0,1594.3333333333333,4045.0,1,2
d2c56ed9e435918f601d46a50a5fffa0db189ed1,8.0,11.0,17.0,31.0,40.666666666666664,50.0,7.0,11.333333333333334,19.0,474.0,798.3333333333334,1443.0,2,1
2ccf021ec9988f0df00cdcf72f634b334de8efd4,27.0,27.0,27.0,86.0,86.0,86.0,42.0,42.0,42.0,2893.0,2893.0,2893.0,0,1
6e23398447a022fb9495c44fa80e9de593a574bc,2.0,10.8,18.0,9.0,83.4,133.0,1.0,14.0,28.0,65.0,545.0,1290.0,2,3
08761cfc723bc5dafd6e18203aff6392ae46bd2b,8.0,30.0,47.0,132.0,358.3333333333333,740.0,5.0,114.0,249.0,1136.0,4939.0,9396.0,1,2
cdf1901567491b6ad5ecde7042895ec06e99e2b2,4.0,4.0,4.0,71.0,71.0,71.0,0.0,0.0,0.0,27.0,27.0,27.0,1,0
34ae1e95775cfec793441c9f588a68c0020f21e5,50.0,50.0,50.0,110.0,110.0,110.0,63.0,63.0,63.0,24396.0,24396.0,24396.0,0,1
1929f3fdcc462a42ad85be9dd7c21cedf005104a,2.0,25.9,48.0,2.0,210.1,523.0,2.0,89.1,224.0,109.0,3386.0,9001.0,2,8
eef9b9a90887d610c67590f2e529bcd15bc4ff25,1.0,1.0,1.0,1.0,1.6,3.0,0.0,0.0,0.0,0.0,0.4,2.0,5,0
60acc34101dc0395ae6d2ab6abf26cbedb00e961,3.0,9.2,23.0,6.0,33.4,78.0,2.0,9.4,34.0,67.0,516.4,1824.0,4,1
818b92bfad6e11d849bae552be60111579d91e91,36.0,36.0,36.0,293.0,293.0,293.0,76.0,76.0,76.0,5138.0,5138.0,5138.0,0,1
35820013d9fd25916bef0462dddd1ac55712dda8,37.0,46.0,55.0,256.0,260.5,265.0,72.0,80.0,88.0,10184.0,19463.5,28743.0,0,2
5edad35b70e24fe9a33d556bd1a54511e34fcafd,1.0,6.5,12.0,1.0,22.166666666666668,44.0,1.0,6.333333333333333,16.0,25.0,168.66666666666666,421.0,4,2
7f4a202462e3fd756b678ca567ff0443d390eb15,1.0,4.0,9.0,2.0,38.4,142.0,0.0,1.4,6.0,2.0,120.4,525.0,5,0
ec0e6ca8b44d5aa5615dcd120bfb8d49f4778321,2.0,3.0,4.0,2.0,27.5,53.0,1.0,1.0,1.0,30.0,34.5,39.0,2,0
fd3828d1465baf3719195ad98971fad66162ce67,15.0,16.5,18.0,64.0,69.5,75.0,20.0,22.5,25.0,1732.0,1797.0,1862.0,0,2
d75ec47183166b878bac3eb9eb427923f7a138e4,24.0,24.5,25.0,52.0,124.5,197.0,33.0,48.0,63.0,7078.0,10748.5,14419.0,0,2
f15a1104425824d3f85420205ba831f005bdcf17,16.0,22.5,29.0,48.0,82.5,117.0,16.0,33.5,51.0,888.0,1932.0,2976.0,0,2
46cf2537300deac81f15f325eeccc2e661ccdf02,40.0,40.0,40.0,433.0,433.0,433.0,139.0,139.0,139.0,9533.0,9533.0,9533.0,0,1
b84478e7a5daa6e98ad8e1ea5403d9df1297cfb7,5.0,10.0,15.0,9.0,65.0,121.0,3.0,14.5,26.0,114.0,466.5,819.0,1,1
de778fe136a5a933be1ee8b15ed90422cff9bdd8,14.0,16.0,18.0,45.0,70.0,95.0,14.0,18.5,23.0,597.0,857.0,1117.0,0,2
d97792d2784d0543b39707035565db630d9c9d2a,31.0,31.0,31.0,139.0,139.0,139.0,50.0,50.0,50.0,5371.0,5371.0,5371.0,0,1
0033346700dc450ac22c9b704eab0e906d868662,2.0,13.25,33.0,3.0,98.625,423.0,0.0,29.375,119.0,12.0,1269.5,5099.0,4,4
177d12064203af1e4bc648928a0f96d64de54030,2.0,22.333333333333332,41.0,4.0,198.33333333333334,603.0,2.0,50.55555555555556,109.0,235.0,2314.6666666666665,4874.0,1,8
95acc8e10410edc498af14863272bf3b6611aa8b,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0
0317a207d80e11a8e520079f84d39fc04ffa4286,1.0,12.2,69.0,1.0,70.7,576.0,1.0,36.5,312.0,140.0,2685.3,22822.0,7,3
ea60c37995b355dcfcd2a718f99bd09a766fa07f,3.0,7.0,9.0,6.0,23.0,33.0,0.0,5.0,8.0,23.0,323.0,693.0,3,0
97ee074857b88e4c21581adbcad8aa5dd911f889,37.0,37.0,37.0,174.0,174.0,174.0,66.0,66.0,66.0,5048.0,5048.0,5048.0,0,1
eb7eae2ebd9250f37dd1c03479f18146f317d716,2.0,12.666666666666666,29.0,10.0,47.333333333333336,98.0,2.0,17.666666666666668,45.0,1067.0,2406.6666666666665,5075.0,2,1
83f56773583ad3e0b3924dfcb6dc336c063854a3,1.0,10.142857142857142,40.0,3.0,72.28571428571429,357.0,0.0,25.142857142857142,151.0,0.0,1091.0,6327.0,5,2
54367ec0ab7be220103bf8a57a52f954ed31d626,6.0,22.333333333333332,44.0,14.0,86.66666666666667,197.0,6.0,46.5,109.0,376.0,2226.6666666666665,5415.0,1,5
2679ee9a0b1eb361ef60124728d36c4665331fb0,2.0,6.333333333333333,14.0,2.0,32.0,85.0,1.0,6.0,16.0,23.0,167.0,445.0,2,1
a7c0a13135c7b706c86b0a8b44b1d1fd995daab5,17.0,17.0,17.0,160.0,160.0,160.0,26.0,26.0,26.0,1455.0,1455.0,1455.0,0,1
7c18d3f992b72523c5071501c98a352d743a90d0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1,0
38cfc0540a7ff7292aaca8e8f3cf4b5f9d7a0332,25.0,33.5,42.0,89.0,195.5,302.0,36.0,66.5,97.0,10553.0,10639.5,10726.0,0,2
96ba726db59e69b9ead2f51e2e6b950f39335556,1.0,10.75,26.0,1.0,56.5,142.0,0.0,22.5,66.0,0.0,704.0,2020.0,2,2
08d921ea5c119ea770194bce73f726adf5614daa,12.0,30.333333333333332,41.0,48.0,124.66666666666667,190.0,13.0,48.333333333333336,80.0,3264.0,10491.333333333334,17212.0,0,3
f99316a37190461263a0f03f0337e5dc0a8bcf3c,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1,0
70a52a22450c3b167ba7f4fb0a153b62246c41b9,3.0,22.0,54.0,6.0,61.333333333333336,152.0,3.0,31.0,81.0,280.0,16861.333333333332,49103.0,2,1
10b9509d6deac5f88746e8ffbe2e3b3834dede4c,21.0,21.0,21.0,37.0,37.0,37.0,25.0,25.0,25.0,3170.0,3170.0,3170.0,0,1
7cd16cdb3abb5e08ba253f1c403598c055c69793,16.0,26.0,43.0,59.0,117.33333333333333,165.0,22.0,51.666666666666664,98.0,3186.0,6251.333333333333,10370.0,0,3
c4eef5d415b2891db5f0120bf9cf2ceeef4f3090,8.0,10.0,13.0,17.0,34.666666666666664,50.0,7.0,9.666666666666666,15.0,109.0,285.3333333333333,628.0,2,1
f685ce1a6462bb04d0ebfa84022ef25659b182d5,3.0,3.0,3.0,7.0,7.0,7.0,1.0,1.0,1.0,48.0,48.0,48.0,1,0
ad10607412e196279bf056d13c8b6fa27fd61f26,5.0,29.5,69.0,10.0,91.0,277.0,3.0,54.333333333333336,169.0,385.0,7235.0,21614.0,1,5
3f7540ee7ed8fbde7d0af44542f30718e23e7100,3.0,20.666666666666668,36.0,14.0,190.0,428.0,3.0,53.333333333333336,117.0,86.0,2337.0,5177.0,1,2
cf43e14ebadf62d323f9ac963a960e055ed4e947,5.0,5.0,5.0,26.0,26.0,26.0,4.0,4.0,4.0,805.0,805.0,805.0,1,0
201b03aa6440d2874a44025cef6a481f82f8eb46,4.0,8.6,22.0,7.0,35.2,156.0,1.0,9.6,44.0,35.0,463.3,1666.0,7,3
3fa28de692264c0b75643b755f47366d0a9e9a2c,2.0,5.5,9.0,3.0,11.0,19.0,2.0,5.0,8.0,212.0,420.0,628.0,2,0
d9b34ede0495607fda36392d165f4032a7b616b5,6.0,10.0,14.0,34.0,52.5,71.0,5.0,10.0,15.0,237.0,692.0,1147.0,1,1
d779cbaaf2c37095be5f0387aa3826787dc40d01,40.0,40.0,40.0,215.0,215.0,215.0,107.0,107.0,107.0,5152.0,5152.0,5152.0,0,1
ea3a39950a4a0cb79547a23ba46510459e325cb4,1.0,1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0
1fc78f3307d45442cc69239eea9d987b41e47d8a,3.0,5.5,8.0,17.0,21.0,25.0,2.0,5.0,8.0,109.0,151.0,193.0,2,0
3eea3c1604156b396d3a52e73f5cd33b57aabea3,1.0,2.5,4.0,2.0,5.0,8.0,0.0,0.5,1.0,0.0,14.0,28.0,2,0
8a7e4164d954eb55617362dcb18ca1359b4b753b,57.0,57.0,57.0,167.0,167.0,167.0,104.0,104.0,104.0,39231.0,39231.0,39231.0,0,1
4a652f3b7b4b1e7bdd9f3806675dd75c440daa06,16.0,60.0,108.0,37.0,715.0,1559.0,17.0,304.0,676.0,1339.0,22069.0,54045.0,0,3
3d5cf6cc88d7327b62ba0c4ad762bc5845c1229b,14.0,14.0,14.0,74.0,74.0,74.0,19.0,19.0,19.0,963.0,963.0,963.0,0,1
e71603e2b9d6b8f622a9848ba1f9df78daa777e3,11.0,11.0,11.0,13.0,13.0,13.0,11.0,11.0,11.0,424.0,424.0,424.0,0,1
8eeb2aa40d61bc4e79342e8b650d69e94ddd8dd0,4.0,4.0,4.0,52.0,52.0,52.0,1.0,1.0,1.0,28.0,28.0,28.0,1,0
7356504a471e3b0cc5e21c0dd4e00aa5f9cdbdf4,13.0,13.0,13.0,135.0,140.5,146.0,15.0,18.0,21.0,4804.0,4864.0,4924.0,0,2
3ae464801732f8b209af853f9c3d5b90c4e85504,19.0,24.0,29.0,81.0,131.5,182.0,31.0,52.5,74.0,1100.0,2004.0,2908.0,0,2
ebaa59bbf5ae8d13abad19b1f8efd85f1ccd1f3b,9.0,15.666666666666666,22.0,34.0,84.0,180.0,7.0,20.0,36.0,306.0,1325.3333333333333,2400.0,1,2
0fd6bdf5003c76b9b144bab1b326f9e3e7c16f22,3.0,8.047619047619047,21.0,5.0,45.0,182.0,2.0,7.809523809523809,34.0,100.0,339.57142857142856,1251.0,15,6
e90e496bd64a70bdf4eeccb72e7238421036b302,8.0,8.0,8.0,100.0,100.0,100.0,5.0,5.0,5.0,213.0,213.0,213.0,1,0
6687b4e0d2bd015b1042f908e7ab72701ef12277,32.0,33.5,35.0,169.0,185.5,202.0,64.0,71.0,78.0,4232.0,4352.0,4472.0,0,2
947833bef0f6745648c6206fd7861ba3100fa3e8,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,70.0,70.0,70.0,1,0
e63e3a0a1065d953c9fc3fb9c29e9d87ad0ef143,2.0,23.166666666666668,51.0,4.0,134.0,492.0,1.0,50.833333333333336,143.0,83.0,2829.8333333333335,9725.0,1,5
7656954cbe70bfb2dd9a9a42c1d53a9ccf090995,30.0,30.0,30.0,302.0,302.0,302.0,87.0,87.0,87.0,3398.0,3398.0,3398.0,0,1
e1005d42492028f0a7fa47dd70601fee79e11771,1.0,2.5,4.0,51.0,169.0,287.0,0.0,0.0,0.0,1.0,26.5,52.0,2,0
