paper_sha,corpus_author_id,position
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,4390777,3
2ef97f9d6cafc8dd5ceebcc4cf2d48f550715ece,6869392,4
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,37197790,1
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,52021105,2
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,32745275,3
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,14314554,4
1ce0fb50054045006eb1076e75954b9a2dc1a7ef,144653384,5
fc524fbd93be3db421c75c589e2299524a75fa26,47685865,1
fc524fbd93be3db421c75c589e2299524a75fa26,47810028,2
fc524fbd93be3db421c75c589e2299524a75fa26,46409511,3
fc524fbd93be3db421c75c589e2299524a75fa26,50522124,4
fc524fbd93be3db421c75c589e2299524a75fa26,48610827,5
fc524fbd93be3db421c75c589e2299524a75fa26,31870789,6
fc524fbd93be3db421c75c589e2299524a75fa26,6313745,7
fc524fbd93be3db421c75c589e2299524a75fa26,46809214,8
fc524fbd93be3db421c75c589e2299524a75fa26,144055526,9
fc524fbd93be3db421c75c589e2299524a75fa26,4472822,10
fc524fbd93be3db421c75c589e2299524a75fa26,5832559,11
fc524fbd93be3db421c75c589e2299524a75fa26,144028610,12
fc524fbd93be3db421c75c589e2299524a75fa26,49262495,13
fc524fbd93be3db421c75c589e2299524a75fa26,1396399014,14
fc524fbd93be3db421c75c589e2299524a75fa26,48411091,15
fc524fbd93be3db421c75c589e2299524a75fa26,8923781,16
fc524fbd93be3db421c75c589e2299524a75fa26,4477164,17
fc524fbd93be3db421c75c589e2299524a75fa26,47031900,18
fc524fbd93be3db421c75c589e2299524a75fa26,5900409,19
fc8f33fc7943bcda37e8b072a768781a259e951c,48942930,1
fc8f33fc7943bcda37e8b072a768781a259e951c,47849786,2
fc8f33fc7943bcda37e8b072a768781a259e951c,152483037,3
fc8f33fc7943bcda37e8b072a768781a259e951c,39314423,4
fc8f33fc7943bcda37e8b072a768781a259e951c,1843755,5
e9326a6cf498adee70a81c2376868e70e4ae0ae6,144071880,1
e9326a6cf498adee70a81c2376868e70e4ae0ae6,4997572,2
e9326a6cf498adee70a81c2376868e70e4ae0ae6,2262915,3
e9326a6cf498adee70a81c2376868e70e4ae0ae6,48940161,4
e9326a6cf498adee70a81c2376868e70e4ae0ae6,48279895,5
e9326a6cf498adee70a81c2376868e70e4ae0ae6,1901730,6
e9326a6cf498adee70a81c2376868e70e4ae0ae6,3153027,7
3ec606701ef65fa976cba34d73e75dd2170220cd,113915138,1
3ec606701ef65fa976cba34d73e75dd2170220cd,1675524240,2
3ec606701ef65fa976cba34d73e75dd2170220cd,113475955,3
97dbc321bc5c2e7ffab651b96df14f357f79b6f8,5720574,1
97dbc321bc5c2e7ffab651b96df14f357f79b6f8,145021217,2
2d850bd85c6ded0e03b185335c03f964f3663f96,144467981,1
2d850bd85c6ded0e03b185335c03f964f3663f96,13223085,2
d1eedd66f5d06c3a545dcc72832ce5319924bc71,143842694,1
d1eedd66f5d06c3a545dcc72832ce5319924bc71,3382597,2
d1eedd66f5d06c3a545dcc72832ce5319924bc71,1800179,3
d1eedd66f5d06c3a545dcc72832ce5319924bc71,52170512,4
9a07d668695358fff63f65411085f4329a7563aa,101626900,1
d6a49dc25964119e59f2fd153b3deed038e0f4fa,5400833,1
d6a49dc25964119e59f2fd153b3deed038e0f4fa,1831734,2
d6a49dc25964119e59f2fd153b3deed038e0f4fa,4803385,3
d6a49dc25964119e59f2fd153b3deed038e0f4fa,2562337,4
27e0dcd372c11ba9a67c210e85125ce8e7cb7663,35304031,1
27e0dcd372c11ba9a67c210e85125ce8e7cb7663,2097758,2
27e0dcd372c11ba9a67c210e85125ce8e7cb7663,49206686,3
7b87c7ae718541b0f780f515699909b3cda03c8d,1710285,1
7b87c7ae718541b0f780f515699909b3cda03c8d,3086664,2
c19619e636712243bfc9f8a4489edaf9d605d5eb,1565760885,1
c19619e636712243bfc9f8a4489edaf9d605d5eb,46777613,2
c19619e636712243bfc9f8a4489edaf9d605d5eb,144982445,3
e3422bd2f4fdf23e1c9e209b80fb9f64a14d1774,123293052,1
e3422bd2f4fdf23e1c9e209b80fb9f64a14d1774,71600159,2
e3422bd2f4fdf23e1c9e209b80fb9f64a14d1774,97540334,3
fde6e6071cb430db1975bfa112f7beee8c64aed5,1718600,1
fde6e6071cb430db1975bfa112f7beee8c64aed5,50102871,2
fde6e6071cb430db1975bfa112f7beee8c64aed5,50093050,3
fde6e6071cb430db1975bfa112f7beee8c64aed5,46936593,4
fde6e6071cb430db1975bfa112f7beee8c64aed5,80555792,5
fde6e6071cb430db1975bfa112f7beee8c64aed5,3180948,6
fde6e6071cb430db1975bfa112f7beee8c64aed5,145534247,7
fde6e6071cb430db1975bfa112f7beee8c64aed5,34264978,8
fde6e6071cb430db1975bfa112f7beee8c64aed5,49460495,9
fde6e6071cb430db1975bfa112f7beee8c64aed5,50483409,10
fde6e6071cb430db1975bfa112f7beee8c64aed5,48645655,11
bec8281e0d3515156e77142351bc659388ec6657,48521900,1
bec8281e0d3515156e77142351bc659388ec6657,145822807,2
bec8281e0d3515156e77142351bc659388ec6657,145308335,3
bec8281e0d3515156e77142351bc659388ec6657,144035765,4
d8a90a767f1848b84423f5565ef2479795425a84,48661915,1
d8a90a767f1848b84423f5565ef2479795425a84,6488875,2
d8a90a767f1848b84423f5565ef2479795425a84,9221305,3
d8a90a767f1848b84423f5565ef2479795425a84,49339114,4
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,4583518,1
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,22156918,2
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,8399278,3
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,71834287,4
ba1e1af274581801a11921377decc39490a8ea07,19254661,1
ba1e1af274581801a11921377decc39490a8ea07,1772407,2
ba1e1af274581801a11921377decc39490a8ea07,144043601,3
ba1e1af274581801a11921377decc39490a8ea07,143854459,4
ba1e1af274581801a11921377decc39490a8ea07,1740882,5
28814444fe96b601e12f041128a6fa823e50f1fa,1754570,1
28814444fe96b601e12f041128a6fa823e50f1fa,38869061,2
e6af4087182c50df08bb574917bc4c8fc5a9b874,145989068,1
e6af4087182c50df08bb574917bc4c8fc5a9b874,4446717,2
40df12d22be8cb8f21a55cc5684a4bfb83654ffb,144719222,1
40df12d22be8cb8f21a55cc5684a4bfb83654ffb,49288013,2
40df12d22be8cb8f21a55cc5684a4bfb83654ffb,1903924,3
88cff2ae5133739743eb497b0b7031f027eb1ff7,35100474,1
88cff2ae5133739743eb497b0b7031f027eb1ff7,13755023,2
88cff2ae5133739743eb497b0b7031f027eb1ff7,6724874,3
88cff2ae5133739743eb497b0b7031f027eb1ff7,1398900723,4
88cff2ae5133739743eb497b0b7031f027eb1ff7,144340480,5
88cff2ae5133739743eb497b0b7031f027eb1ff7,2951722,6
88cff2ae5133739743eb497b0b7031f027eb1ff7,1800365,7
88cff2ae5133739743eb497b0b7031f027eb1ff7,4591833,8
8174681ca84e548c384850a8e50245b85ea7fa82,113997796,1
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,143607172,1
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,5828246,2
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,2366217,3
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,46705517,4
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,145085347,5
7455f65a1a23cbcb83a527c41dfc030ddaf79e5c,21772128,1
7455f65a1a23cbcb83a527c41dfc030ddaf79e5c,39536819,2
44c01e3e0ae9ca997cfcd10ea73d3c7812424f2a,33205084,1
44c01e3e0ae9ca997cfcd10ea73d3c7812424f2a,144437622,2
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,51921351,1
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,49377065,2
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,8251426,3
692a1b4effb08cd1882656eda1efa3d308b2efb0,1391866744,1
692a1b4effb08cd1882656eda1efa3d308b2efb0,1391987401,2
692a1b4effb08cd1882656eda1efa3d308b2efb0,1380312764,3
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,46774698,1
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,2708291,2
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,50474061,3
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,47796080,4
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,52422298,5
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,1491470507,6
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,122242623,7
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,38038984,8
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,1500429428,9
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,12851148,10
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,8086825,11
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,97982350,12
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,4028845,13
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,145507058,14
380083e983c36b190ebd9880b0aed12c33de0000,50172491,1
28726ecac3fe563562ab303e8f510ca5f0b5e2ab,3164504,1
28726ecac3fe563562ab303e8f510ca5f0b5e2ab,2675802,2
28726ecac3fe563562ab303e8f510ca5f0b5e2ab,31806495,3
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,3744105,1
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,90411893,2
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,2508281,3
9cd72004f983c1b55766685182c4a96116604d59,144306257,1
9cd72004f983c1b55766685182c4a96116604d59,145931871,2
9cd72004f983c1b55766685182c4a96116604d59,46844089,3
9cd72004f983c1b55766685182c4a96116604d59,145301469,4
36b35b82811da487b85539c634e9c361b115bc44,2660357,1
36b35b82811da487b85539c634e9c361b115bc44,70361893,2
36b35b82811da487b85539c634e9c361b115bc44,144304794,3
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,52477244,1
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,101860177,2
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,1731770,3
a4592975c28861b8aae4870e23612388cdfda67a,51371300,1
b50f2b3c0895407b1a3bbda404304d00a628936b,8914701,1
b50f2b3c0895407b1a3bbda404304d00a628936b,3153311,2
fa04d8f27007cd5ce58071792b0e6db099f1c239,31601710,1
fa04d8f27007cd5ce58071792b0e6db099f1c239,2185593,2
7ffdbc358b63378f07311e883dddacc9faeeaf4b,2983898,1
7ee9f9cc1051da074b84d69f523e21f44f930d6e,66367628,1
3c8bb99f8f166c8dc71b46c81989c28bc7385e31,133840221,1
ccaea944996c0935897cd6eb248d5f01367cd3c4,144936111,1
3e88fbfee7844394bc96f62b36bed5a0396ba669,2198414,1
9dfb86bb669f6ca0609ac51a3cad89aee21e6fde,49932430,1
9dfb86bb669f6ca0609ac51a3cad89aee21e6fde,49856724,2
643cc46616580faba24162bfca4bba175fb70384,89562706,1
643cc46616580faba24162bfca4bba175fb70384,152860723,2
643cc46616580faba24162bfca4bba175fb70384,49315897,3
643cc46616580faba24162bfca4bba175fb70384,46280556,4
643cc46616580faba24162bfca4bba175fb70384,3571698,5
2b6e88523431592bce1f08814bc19c4521612200,5012300,1
2b6e88523431592bce1f08814bc19c4521612200,46387584,2
d490be04b6c7c9206101ee7aa8b5bd815552f750,70427272,1
d490be04b6c7c9206101ee7aa8b5bd815552f750,1747306,2
7bd9a25227ca4378b86a78994817988863a54b60,2691228,1
0fe5ef2c3c3a0f2180d8a9de9837ba2f4ac27ba2,114265520,1
0fe5ef2c3c3a0f2180d8a9de9837ba2f4ac27ba2,16048050,2
0fe5ef2c3c3a0f2180d8a9de9837ba2f4ac27ba2,15801800,3
d29d4849a045844648ef02b1adbfff431ef8eae8,145659513,1
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,48754715,1
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,34950174,2
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,40352960,3
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,50729099,4
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,3090887,5
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,39549256,6
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,3050141,7
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,49820419,8
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,121223209,9
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,145059889,10
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,47022983,11
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,2729883,12
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,152780304,13
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,2015891,14
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,143601843,15
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,1713573,16
3d068033ba04731495ddb6b0ae13f8dd125c7f91,40461019,1
3d068033ba04731495ddb6b0ae13f8dd125c7f91,4887549,2
3d068033ba04731495ddb6b0ae13f8dd125c7f91,5361836,3
3d068033ba04731495ddb6b0ae13f8dd125c7f91,4326302,4
3d068033ba04731495ddb6b0ae13f8dd125c7f91,2180874,5
3d068033ba04731495ddb6b0ae13f8dd125c7f91,35440416,6
3d068033ba04731495ddb6b0ae13f8dd125c7f91,33390998,7
3d068033ba04731495ddb6b0ae13f8dd125c7f91,40047812,8
3d068033ba04731495ddb6b0ae13f8dd125c7f91,144949215,9
3d068033ba04731495ddb6b0ae13f8dd125c7f91,3209833,10
3d068033ba04731495ddb6b0ae13f8dd125c7f91,123664244,11
98ab45160269f7c1545f7924f989d5da1895e9a5,46861004,1
98ab45160269f7c1545f7924f989d5da1895e9a5,1690354,2
98ab45160269f7c1545f7924f989d5da1895e9a5,1956705,3
69565e112703ca7a8d10c3eaa51efed9d7685440,2735100,1
69565e112703ca7a8d10c3eaa51efed9d7685440,2043784,2
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,2840551,1
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,80170558,2
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,118535865,3
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,1753541,4
3ce8a97bbf8be946e70824e07b65b1a81d506eb4,49921151,1
3ce8a97bbf8be946e70824e07b65b1a81d506eb4,27250189,2
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,144006441,1
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,48354736,2
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,9945646,3
a7595cdcad294e5659273910f47dc6e107e25090,98631892,1
8083dda27e1a60fa47702ef17d917dba725c28d1,2008106,1
8083dda27e1a60fa47702ef17d917dba725c28d1,48816950,2
79ac20db30bb4567d2d75ecc827affaf10031293,4530135,1
79ac20db30bb4567d2d75ecc827affaf10031293,2099021,2
79ac20db30bb4567d2d75ecc827affaf10031293,31938077,3
79ac20db30bb4567d2d75ecc827affaf10031293,21196866,4
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,121325130,1
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,5866678,2
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,9845309,3
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,152589267,4
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,4490579,5
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,40035609,6
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,5105408,7
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,4988617,8
cbc33164f9db97698901f130f399f2898d856267,15311176,1
cbc33164f9db97698901f130f399f2898d856267,1755634,2
cbc33164f9db97698901f130f399f2898d856267,3869690,3
cbc33164f9db97698901f130f399f2898d856267,5469251,4
cbc33164f9db97698901f130f399f2898d856267,1400865994,5
cbc33164f9db97698901f130f399f2898d856267,39135262,6
cbc33164f9db97698901f130f399f2898d856267,13575330,7
b656c3ff78af97ba78eed50f048cd5aa972151b3,48068600,1
b656c3ff78af97ba78eed50f048cd5aa972151b3,1399162902,2
b656c3ff78af97ba78eed50f048cd5aa972151b3,31492765,3
03ad72b1a3b1db254893eb928ea8757d910fb35e,17719980,1
19d1a4c1d4aa252c1881ec231a822bd0ec10411a,39293178,1
08789c959ee9987917d3effb1e5e1b41f8ecab4e,1515658933,1
08789c959ee9987917d3effb1e5e1b41f8ecab4e,46324740,2
08789c959ee9987917d3effb1e5e1b41f8ecab4e,50028931,3
08789c959ee9987917d3effb1e5e1b41f8ecab4e,49694731,4
08789c959ee9987917d3effb1e5e1b41f8ecab4e,143607999,5
08789c959ee9987917d3effb1e5e1b41f8ecab4e,50549613,6
08789c959ee9987917d3effb1e5e1b41f8ecab4e,49444640,7
08789c959ee9987917d3effb1e5e1b41f8ecab4e,1516403086,8
08789c959ee9987917d3effb1e5e1b41f8ecab4e,90475769,9
08789c959ee9987917d3effb1e5e1b41f8ecab4e,12005549,10
08789c959ee9987917d3effb1e5e1b41f8ecab4e,3945037,11
31d3abf628a948e05b572e1cd593196f30cce4c1,35329386,1
31d3abf628a948e05b572e1cd593196f30cce4c1,144870078,2
24d449ee91a0ad3fb01b45db42b5672f0f782eef,36265121,1
24d449ee91a0ad3fb01b45db42b5672f0f782eef,46602151,2
24d449ee91a0ad3fb01b45db42b5672f0f782eef,14391423,3
24d449ee91a0ad3fb01b45db42b5672f0f782eef,143825249,4
24d449ee91a0ad3fb01b45db42b5672f0f782eef,11878736,5
76e199fcf5537c4e8ef774d792afd2978aa11ebb,2189475,1
d989fc3fb22636d16a911773184d27777018debc,6850592,1
d989fc3fb22636d16a911773184d27777018debc,3726615,2
d989fc3fb22636d16a911773184d27777018debc,145290123,3
d989fc3fb22636d16a911773184d27777018debc,143763149,4
d989fc3fb22636d16a911773184d27777018debc,5912975,5
c3e51cc7514d1d6e2416ff00564e87914c5588ee,145500855,1
c3e51cc7514d1d6e2416ff00564e87914c5588ee,49807919,2
c3e51cc7514d1d6e2416ff00564e87914c5588ee,143849609,3
e85e2d03cd167d1d5b10a67b5aa6bc9e53f3eaf8,32508059,1
6c1550947e95b83be1b7014b56115e4b74a27762,144255219,1
6c1550947e95b83be1b7014b56115e4b74a27762,8314128,2
6c1550947e95b83be1b7014b56115e4b74a27762,1519966277,3
6c1550947e95b83be1b7014b56115e4b74a27762,31760332,4
6c1550947e95b83be1b7014b56115e4b74a27762,14827345,5
6c1550947e95b83be1b7014b56115e4b74a27762,90638604,6
6c1550947e95b83be1b7014b56115e4b74a27762,1491116567,7
6c1550947e95b83be1b7014b56115e4b74a27762,97942333,8
6c1550947e95b83be1b7014b56115e4b74a27762,27367657,9
6c1550947e95b83be1b7014b56115e4b74a27762,12465115,10
6c1550947e95b83be1b7014b56115e4b74a27762,1491395598,11
6c1550947e95b83be1b7014b56115e4b74a27762,49252352,12
6c1550947e95b83be1b7014b56115e4b74a27762,89078396,13
6c1550947e95b83be1b7014b56115e4b74a27762,1471215831,14
6c1550947e95b83be1b7014b56115e4b74a27762,48637692,15
6c1550947e95b83be1b7014b56115e4b74a27762,46331973,16
6c1550947e95b83be1b7014b56115e4b74a27762,49069080,17
6c1550947e95b83be1b7014b56115e4b74a27762,30088927,18
6c1550947e95b83be1b7014b56115e4b74a27762,50142590,19
6c1550947e95b83be1b7014b56115e4b74a27762,30087560,20
6c1550947e95b83be1b7014b56115e4b74a27762,1491791321,21
6c1550947e95b83be1b7014b56115e4b74a27762,6045918,22
6c1550947e95b83be1b7014b56115e4b74a27762,145761843,23
6c1550947e95b83be1b7014b56115e4b74a27762,120095730,24
6c1550947e95b83be1b7014b56115e4b74a27762,1401056163,25
6c1550947e95b83be1b7014b56115e4b74a27762,36086728,26
6c1550947e95b83be1b7014b56115e4b74a27762,,27
6c1550947e95b83be1b7014b56115e4b74a27762,12572473,28
6c1550947e95b83be1b7014b56115e4b74a27762,39371382,29
c2de322afec35af1813eccd5bd116d9d3896e8f5,4425080,1
c2de322afec35af1813eccd5bd116d9d3896e8f5,46736581,2
c2de322afec35af1813eccd5bd116d9d3896e8f5,6398873,3
c2de322afec35af1813eccd5bd116d9d3896e8f5,1413471156,4
c2de322afec35af1813eccd5bd116d9d3896e8f5,46688108,5
c2de322afec35af1813eccd5bd116d9d3896e8f5,1421919042,6
c2de322afec35af1813eccd5bd116d9d3896e8f5,145193970,7
bcd41049a43f1ec39d5bf964e62ff18c23e81a74,35424390,1
f6867be9a28578162f024790f5975d7ad1a18e52,50880512,1
f6867be9a28578162f024790f5975d7ad1a18e52,1402515525,2
bde955849831041bfd5ea7cd404de1d314e776a7,4297969,1
33a75a434290ead957b7f935d73da9ba952d48d1,144474040,1
4106cc16aac157c0c60747ea9641fee7e819e4c4,100718336,1
01c388973b8c55ed23235604145de357c35a6f02,10378913,1
01c388973b8c55ed23235604145de357c35a6f02,5448636,2
01c388973b8c55ed23235604145de357c35a6f02,50543746,3
01c388973b8c55ed23235604145de357c35a6f02,10384725,4
01c388973b8c55ed23235604145de357c35a6f02,49387979,5
01c388973b8c55ed23235604145de357c35a6f02,10376068,6
01c388973b8c55ed23235604145de357c35a6f02,144212216,7
695bd9bb89df717227357a4ee8d15843a11f3609,145058670,1
695bd9bb89df717227357a4ee8d15843a11f3609,145058670,2
695bd9bb89df717227357a4ee8d15843a11f3609,8162736,3
10f39897f091090acc385b8fac5d14e30152abc2,2337187,1
10f39897f091090acc385b8fac5d14e30152abc2,1950540,2
10f39897f091090acc385b8fac5d14e30152abc2,1903312,3
10f39897f091090acc385b8fac5d14e30152abc2,143696918,4
10f39897f091090acc385b8fac5d14e30152abc2,3295577,5
af318eaecf3dd136564def9d4841e0005f99cc95,4331180,1
153550ab4a88092f8eac151479e36e053e9e37e9,47654875,1
153550ab4a88092f8eac151479e36e053e9e37e9,,2
153550ab4a88092f8eac151479e36e053e9e37e9,77691738,3
153550ab4a88092f8eac151479e36e053e9e37e9,7863421,4
d2c56ed9e435918f601d46a50a5fffa0db189ed1,145407477,1
d2c56ed9e435918f601d46a50a5fffa0db189ed1,95006381,2
d2c56ed9e435918f601d46a50a5fffa0db189ed1,2674720,3
2ccf021ec9988f0df00cdcf72f634b334de8efd4,145471057,1
6e23398447a022fb9495c44fa80e9de593a574bc,2752858,1
6e23398447a022fb9495c44fa80e9de593a574bc,3375011,2
6e23398447a022fb9495c44fa80e9de593a574bc,3201660,3
6e23398447a022fb9495c44fa80e9de593a574bc,145802955,4
6e23398447a022fb9495c44fa80e9de593a574bc,2345652,5
08761cfc723bc5dafd6e18203aff6392ae46bd2b,2845410,1
08761cfc723bc5dafd6e18203aff6392ae46bd2b,145533337,2
08761cfc723bc5dafd6e18203aff6392ae46bd2b,1814625,3
cdf1901567491b6ad5ecde7042895ec06e99e2b2,103630320,1
34ae1e95775cfec793441c9f588a68c0020f21e5,1726733,1
1929f3fdcc462a42ad85be9dd7c21cedf005104a,2641723,1
1929f3fdcc462a42ad85be9dd7c21cedf005104a,4113625,2
1929f3fdcc462a42ad85be9dd7c21cedf005104a,46494691,3
1929f3fdcc462a42ad85be9dd7c21cedf005104a,12817724,4
1929f3fdcc462a42ad85be9dd7c21cedf005104a,48220295,5
1929f3fdcc462a42ad85be9dd7c21cedf005104a,5507838,6
1929f3fdcc462a42ad85be9dd7c21cedf005104a,3920732,7
1929f3fdcc462a42ad85be9dd7c21cedf005104a,5800747,8
1929f3fdcc462a42ad85be9dd7c21cedf005104a,2694430,9
1929f3fdcc462a42ad85be9dd7c21cedf005104a,2720234,10
eef9b9a90887d610c67590f2e529bcd15bc4ff25,133732538,1
eef9b9a90887d610c67590f2e529bcd15bc4ff25,104358864,2
eef9b9a90887d610c67590f2e529bcd15bc4ff25,135504813,3
eef9b9a90887d610c67590f2e529bcd15bc4ff25,135606812,4
eef9b9a90887d610c67590f2e529bcd15bc4ff25,135847073,5
60acc34101dc0395ae6d2ab6abf26cbedb00e961,50580345,1
60acc34101dc0395ae6d2ab6abf26cbedb00e961,144702900,2
60acc34101dc0395ae6d2ab6abf26cbedb00e961,117849726,3
60acc34101dc0395ae6d2ab6abf26cbedb00e961,71776838,4
60acc34101dc0395ae6d2ab6abf26cbedb00e961,46700348,5
818b92bfad6e11d849bae552be60111579d91e91,143976087,1
35820013d9fd25916bef0462dddd1ac55712dda8,143628419,1
35820013d9fd25916bef0462dddd1ac55712dda8,7817801,2
5edad35b70e24fe9a33d556bd1a54511e34fcafd,2073271,1
