paper_sha,paper_title,paper_year,paper_venue,n_citations,n_key_citations
bec8281e0d3515156e77142351bc659388ec6657,Exploring Serverless Computing for Neural Network Training,2018.0,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),13.0,
d8a90a767f1848b84423f5565ef2479795425a84,Pu-Er Tea automated fermentation system based on PLC and WINCC,2010.0,2010 The 2nd International Conference on Computer and Automation Engineering (ICCAE),1.0,
b8e5d75d67eb8403abfc4f05e220851f45ea83fe,Improving joint formation and tensile properties of friction stir welded ultra-thin Al/Mg alloy sheets using a pinless tool assisted by a stationary shoulder,2017.0,,0.0,
ba1e1af274581801a11921377decc39490a8ea07,Analyzing Semantic Correctness with Symbolic Execution: A Case Study on PKCS#1 v1.5 Signature Verification,2019.0,NDSS,1.0,
28814444fe96b601e12f041128a6fa823e50f1fa,"How do consumers search for and appraise health information on the world wide web? Qualitative study using focus groups, usability tests, and in-depth interviews.",2002.0,BMJ,876.0,
e6af4087182c50df08bb574917bc4c8fc5a9b874,The place of impulsiveness in a dimensional system of personality description.,1977.0,The British journal of social and clinical psychology,292.0,
40df12d22be8cb8f21a55cc5684a4bfb83654ffb,Identifying Key Risks in Construction Projects : Life Cycle and Stakeholder Perspectives,2006.0,,71.0,
88cff2ae5133739743eb497b0b7031f027eb1ff7,Microfibril structure masks fibrillin-2 in postnatal tissues.,2010.0,The Journal of biological chemistry,25.0,
8174681ca84e548c384850a8e50245b85ea7fa82,Eye Movement Desensitization and Reprocessing (emdr) and Spiritual Unfolding,1997.0,,6.0,
83cd28183a7c9339a0d7b3c6f7c35ad49cd4b860,The BDNF Val66Met polymorphism affects HPA-axis reactivity to acute stress,2010.0,Psychoneuroendocrinology,56.0,
7455f65a1a23cbcb83a527c41dfc030ddaf79e5c,The Pricing of Options and Corporate Liabilities,1973.0,,10763.0,
44c01e3e0ae9ca997cfcd10ea73d3c7812424f2a,The effect of harmonics on the capillary instability of liquid jets,1978.0,,3.0,
7d53cd79d848eb3bd33150f3a7e3680e3fd3e97f,"A new class of genetic element, staphylococcus cassette chromosome mec, encodes methicillin resistance in Staphylococcus aureus.",2000.0,Antimicrobial agents and chemotherapy,548.0,
692a1b4effb08cd1882656eda1efa3d308b2efb0,Young Children,1949.0,Nature,142.0,
8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,Chest CT Findings in Coronavirus Disease-19 (COVID-19): Relationship to Duration of Infection.,2020.0,Radiology,108.0,
380083e983c36b190ebd9880b0aed12c33de0000,"Footwear Impression Evidence: Detection, Recovery and Examination",1995.0,,91.0,
28726ecac3fe563562ab303e8f510ca5f0b5e2ab,"Leadership: current theories, research, and future directions.",2009.0,Annual review of psychology,945.0,
9fad0aa0baf7549a908cdd0d51439016ce9c46b0,Bioconversion of ferulic acid and 4-vinylguaiacol by a white-rot fungus isolated from decaying wood,2010.0,,7.0,
9cd72004f983c1b55766685182c4a96116604d59,"Coronavirus Diversity, Phylogeny and Interspecies Jumping",2009.0,Experimental biology and medicine,235.0,
36b35b82811da487b85539c634e9c361b115bc44,Key concepts in a framework for analysing visual landscape character,2006.0,,195.0,
0e4ae5ca700eba96e34190f75c02b0ad4ebd958c,Why Random Reshuffling Beats Stochastic Gradient Descent,2019.0,,58.0,
a4592975c28861b8aae4870e23612388cdfda67a,From visual simulation to virtual reality to games,2005.0,Computer,930.0,
b50f2b3c0895407b1a3bbda404304d00a628936b,Hemophilia A in the third millennium.,2013.0,Blood reviews,41.0,
fa04d8f27007cd5ce58071792b0e6db099f1c239,Effect of cysteine on the viability of yoghurt and probiotic bacteria in yoghurts made with commercial starter cultures,1997.0,,106.0,
7ffdbc358b63378f07311e883dddacc9faeeaf4b,Fast R-CNN,2015.0,2015 IEEE International Conference on Computer Vision (ICCV),5836.0,
7ee9f9cc1051da074b84d69f523e21f44f930d6e,Tantangan Pendidikan Inklusi Dalam Menghadapi Masyarakat Ekonomi Asean,2015.0,,1.0,
3c8bb99f8f166c8dc71b46c81989c28bc7385e31,Pferdegestützte Personalentwicklung. Einmalig und nachhaltig,2012.0,,1.0,
ccaea944996c0935897cd6eb248d5f01367cd3c4,Data Analysis for the COVID-19 early dynamics in Northern Italy. The effect of first restrictive measures,2020.0,,7.0,
3e88fbfee7844394bc96f62b36bed5a0396ba669,Global Glacial Isostasy and the Surface of the Ice-Age Earth: The ICE-5G (VM2) Model and GRACE,2004.0,,935.0,
9dfb86bb669f6ca0609ac51a3cad89aee21e6fde,A Region-Based Lossless Watermarking Scheme for Enhancing Security of Medical Data,2007.0,Journal of Digital Imaging,70.0,
643cc46616580faba24162bfca4bba175fb70384,Assessment of in vitro prophylactic and therapeutic efficacy of chloroquine against chikungunya virus in vero cells,2010.0,Journal of medical virology,62.0,
2b6e88523431592bce1f08814bc19c4521612200,"Community Regulation: Variation in Disturbance, Competition, and Predation in Relation to Environmental Stress and Recruitment",1987.0,,663.0,
d490be04b6c7c9206101ee7aa8b5bd815552f750,Cognitive Mechanisms Underlying the Origin and Evolution of Culture,2001.0,,21.0,
7bd9a25227ca4378b86a78994817988863a54b60,"Business Models, Business Strategy and Innovation",2010.0,,2107.0,
0fe5ef2c3c3a0f2180d8a9de9837ba2f4ac27ba2,The Second Industrial Divide: Possibilities for Prosperity,1984.0,,1301.0,
aee8a6d55b68e137d80790159c2253639ecb7d25,"Management of Pulse beetle , Callosobruchus chinensis Linn . using botanicals",2014.0,,7.0,
d29d4849a045844648ef02b1adbfff431ef8eae8,Managing in a VUCA World,2016.0,,9.0,
e210b35376b6fb4d30f4f5d12cf0222fb8ca9f3c,Alterations in brain structure and functional connectivity in prescription opioid-dependent patients.,2010.0,Brain : a journal of neurology,158.0,
3d068033ba04731495ddb6b0ae13f8dd125c7f91,Synthetic recombinant bat SARS-like coronavirus is infectious in cultured cells and in mice.,2008.0,Proceedings of the National Academy of Sciences of the United States of America,112.0,
98ab45160269f7c1545f7924f989d5da1895e9a5,The Uncanny Valley [From the Field],2012.0,IEEE Robot. Automat. Mag.,324.0,
69565e112703ca7a8d10c3eaa51efed9d7685440,A recent overview on the biological and pharmacological activities of ferulic acid,2019.0,EXCLI journal,1.0,
a3f9dcf7170105ce1e39a63ae99f7334ecaf3182,IoT-MAP: IoT mashup application platform for the flexible IoT ecosystem,2015.0,2015 5th International Conference on the Internet of Things (IOT),16.0,
3ce8a97bbf8be946e70824e07b65b1a81d506eb4,"Extraction, Characterization, Stability and Biological Activity of Flavonoids Isolated from Chamomile Flowers.",2009.0,Molecular and cellular pharmacology,49.0,
9936a0b23d8467bd2978a0da2893d59a5fd8ad2d,Routine pulse oximetry in the asymptomatic newborn.,2002.0,Archives of disease in childhood. Fetal and neonatal edition,77.0,
a7595cdcad294e5659273910f47dc6e107e25090,Theatres of Memory: Past and Present in Contemporary Culture,1995.0,,151.0,
8083dda27e1a60fa47702ef17d917dba725c28d1,Achieving and Sustaining Business-IT Alignment,1999.0,,413.0,
79ac20db30bb4567d2d75ecc827affaf10031293,On the predictive validity of implicit attitude measures: The moderating effect of perceived group variability☆,2005.0,,29.0,
30f6f26304a94e7cdb17a73b9b19e81446a51ab3,Internationally lost COVID-19 cases,2020.0,"Journal of Microbiology, Immunology and Infection",8.0,
cbc33164f9db97698901f130f399f2898d856267,"Rheological properties of Lepidium sativum seed extract as a function of concentration, temperature and time",2009.0,,36.0,
b656c3ff78af97ba78eed50f048cd5aa972151b3,"Deep neural networks, gradient-boosted trees, random forests: Statistical arbitrage on the S&P 500",2017.0,Eur. J. Oper. Res.,61.0,
03a10e26c7177c949d3fac0b3ff101f5b9e7b77e,Novel coronavirus disease 2019 (COVID-19) pandemic: increased transmission in the EU/EEA and the UK – sixth update,2020.0,,14.0,
03ad72b1a3b1db254893eb928ea8757d910fb35e,The global battle against SARS-CoV-2 and COVID-19,2020.0,International journal of biological sciences,0.0,
19d1a4c1d4aa252c1881ec231a822bd0ec10411a,Reading to Speak: Integrating Oral Communication Skills.,2009.0,,51.0,
11d945d4cfad930d27d6e124e43e18a82d4c8842,UAC/Alternative Care Guidance for the COVID-19 Situation – Iraq Child Protection Sub-Cluster Introduction:,,,0.0,
08789c959ee9987917d3effb1e5e1b41f8ecab4e,"Distribution of the COVID-19 epidemic and correlation with population emigration from Wuhan, China",2020.0,Chinese medical journal,9.0,
31d3abf628a948e05b572e1cd593196f30cce4c1,The partial availability of Universal Grammar in second language acquisition: the''failed functional,1997.0,,339.0,
24d449ee91a0ad3fb01b45db42b5672f0f782eef,"The effect of a soil-feeding termite, Cubitermes fungifaber (Isoptera: Termitidae) on soil properties: termites may be an important source of soil microhabitat heterogeneity in tropical forests",2001.0,,45.0,
76e199fcf5537c4e8ef774d792afd2978aa11ebb,The basics of electromyography.,2005.0,"Journal of neurology, neurosurgery, and psychiatry",46.0,
d989fc3fb22636d16a911773184d27777018debc,Crystal structure of a bacteriophage T7 DNA replication complex at 2.2 Å resolution,1998.0,Nature,378.0,
c3e51cc7514d1d6e2416ff00564e87914c5588ee,Neural Open Information Extraction,2018.0,ACL,25.0,
e85e2d03cd167d1d5b10a67b5aa6bc9e53f3eaf8,Homosexual identity formation: a theoretical model.,1979.0,Journal of homosexuality,988.0,
6c1550947e95b83be1b7014b56115e4b74a27762,Discovery of a novel coronavirus associated with the recent pneumonia outbreak in humans and its potential bat origin,2020.0,medRxiv,141.0,
c2de322afec35af1813eccd5bd116d9d3896e8f5,ADVATE prophylaxis: post hoc analysis of joint bleeding episodes,2014.0,,4.0,
bcd41049a43f1ec39d5bf964e62ff18c23e81a74,Mesopotamia Before History,2002.0,,7.0,
f6867be9a28578162f024790f5975d7ad1a18e52,Automotive Embedded Systems Handbook,2017.0,,27.0,
bde955849831041bfd5ea7cd404de1d314e776a7,Thermal Adaptation: A Theoretical and Empirical Synthesis,2009.0,,973.0,
33a75a434290ead957b7f935d73da9ba952d48d1,Theoretical and analytical embryology of conjoined twins: part I: embryogenesis.,2000.0,Clinical anatomy,110.0,
4106cc16aac157c0c60747ea9641fee7e819e4c4,Dover Beach: Semiotics in Theory and Practice,2005.0,,3.0,
01c388973b8c55ed23235604145de357c35a6f02,Supramolecular Lego assembly towards three-dimensional multi-responsive hydrogels.,2014.0,Advanced materials,25.0,
695bd9bb89df717227357a4ee8d15843a11f3609,Grey Wolf Optimizer,2014.0,Adv. Eng. Softw.,1287.0,
10f39897f091090acc385b8fac5d14e30152abc2,FrameNet II: Extended Theory and Practice,2006.0,WWW 2006,475.0,
af318eaecf3dd136564def9d4841e0005f99cc95,Do U.S. consumers really benefit from payment card rewards,2009.0,,11.0,
153550ab4a88092f8eac151479e36e053e9e37e9,"Clinical characteristics of novel coronavirus disease 2019 (COVID-19) in newborns, infants and children",2020.0,Pediatrics & Neonatology,11.0,
d2c56ed9e435918f601d46a50a5fffa0db189ed1,Consumer bankruptcy : A fresh start,2007.0,,258.0,
2ccf021ec9988f0df00cdcf72f634b334de8efd4,"Trade, the pollution haven hypothesis and the environmental Kuznets curve: examining the linkages",2004.0,,296.0,
6e23398447a022fb9495c44fa80e9de593a574bc,Machine Learning in Agriculture: A Review,2018.0,Sensors,61.0,
08761cfc723bc5dafd6e18203aff6392ae46bd2b,Biodiesel fuel production by transesterification of oils.,2001.0,Journal of bioscience and bioengineering,762.0,
cdf1901567491b6ad5ecde7042895ec06e99e2b2,Nazi Almanyası Etkisindeki İtalyan Sosyal Cumhuriyeti'nin Propaganda Posterleri Üzerine İnceleme,2018.0,,3.0,
34ae1e95775cfec793441c9f588a68c0020f21e5,Scaling Up the Accuracy of Naive-Bayes Classifiers: A Decision-Tree Hybrid,1996.0,KDD,861.0,
1929f3fdcc462a42ad85be9dd7c21cedf005104a,Indomethacin has a potent antiviral activity against SARS coronavirus.,2006.0,Antiviral therapy,24.0,
eef9b9a90887d610c67590f2e529bcd15bc4ff25,"生理性催眠,四‘p’与 P.n.i.m.",1991.0,,0.0,
60acc34101dc0395ae6d2ab6abf26cbedb00e961,Distilling the Knowledge of BERT for Text Generation,2019.0,ArXiv,7.0,
818b92bfad6e11d849bae552be60111579d91e91,Elementary School Science and Math Tests as a Driver for AI: Take the Aristo Challenge!,2015.0,AAAI,70.0,
35820013d9fd25916bef0462dddd1ac55712dda8,"Law Enforcement, Malfeasance, and Compensation of Enforcers",1974.0,,656.0,
5edad35b70e24fe9a33d556bd1a54511e34fcafd,Saudi accented Arabic voice bank,2008.0,ExLing,25.0,
7f4a202462e3fd756b678ca567ff0443d390eb15,Immunomodulatory effect of Stinging nettle (Urtica dioica) and Aloe vera (Aloe barbadensis) in broiler chickens,2018.0,,2.0,
ec0e6ca8b44d5aa5615dcd120bfb8d49f4778321,Automated Trading Experiments with Maml,2002.0,,1.0,
fd3828d1465baf3719195ad98971fad66162ce67,Unsupervised Optimal Fuzzy Clustering,1989.0,IEEE Trans. Pattern Anal. Mach. Intell.,1008.0,
d75ec47183166b878bac3eb9eb427923f7a138e4,Leaving College: Rethinking the Causes and Cures of Student Attrition,1987.0,,4977.0,
f15a1104425824d3f85420205ba831f005bdcf17,Supply Chain Coordination in a Market with Customer Service Competition,2009.0,,102.0,
46cf2537300deac81f15f325eeccc2e661ccdf02,Ultra-reliable communication in 5G wireless systems,2014.0,1st International Conference on 5G for Ubiquitous Connectivity,183.0,
b84478e7a5daa6e98ad8e1ea5403d9df1297cfb7,Artificial intelligence design charts for predicting friction capacity of driven pile in clay,2018.0,Neural Computing and Applications,28.0,
de778fe136a5a933be1ee8b15ed90422cff9bdd8,Computing dominant poles of large second‐order transfer functions,2007.0,,1.0,
d97792d2784d0543b39707035565db630d9c9d2a,Building a New Structure for School Leadership.,1999.0,,878.0,
0033346700dc450ac22c9b704eab0e906d868662,Scene Text Visual Question Answering,2019.0,2019 IEEE/CVF International Conference on Computer Vision (ICCV),9.0,
177d12064203af1e4bc648928a0f96d64de54030,Consensus recommendations for the diagnosis and treatment of acquired hemophilia A,2010.0,BMC Research Notes,74.0,
95acc8e10410edc498af14863272bf3b6611aa8b,Masyarakat Ekonomi Asean (mea) Dan Tinjauan Dari Perspektif Ekonomi Syariah,2016.0,,1.0,
0317a207d80e11a8e520079f84d39fc04ffa4286,Ribavirin and interferon alfa-2a for severe Middle East respiratory syndrome coronavirus infection: a retrospective cohort study,2014.0,The Lancet Infectious Diseases,140.0,
ea60c37995b355dcfcd2a718f99bd09a766fa07f,Digital sinusoidal PWM generation using a low-cost micro-controller based single-phase inverter,2005.0,2005 IEEE Conference on Emerging Technologies and Factory Automation,8.0,
97ee074857b88e4c21581adbcad8aa5dd911f889,"Event tourism: Definition, evolution, and research",2008.0,,622.0,
eb7eae2ebd9250f37dd1c03479f18146f317d716,Building an Information System Design Theory for Vigilant EIS,1992.0,Inf. Syst. Res.,895.0,
83f56773583ad3e0b3924dfcb6dc336c063854a3,The structural basis of fungal glucuronoyl esterase activity on natural substrates,2020.0,Nature Communications,0.0,
54367ec0ab7be220103bf8a57a52f954ed31d626,Chloroquine Resistance Transporter Chloroquine Transport via the Malaria Parasite ’ s,2010.0,,0.0,
2679ee9a0b1eb361ef60124728d36c4665331fb0,Consumer Search and Price Competition,2018.0,,18.0,
a7c0a13135c7b706c86b0a8b44b1d1fd995daab5,"LOVEMAPS: Clinical Concepts of Sexual/Erotic Health and Pathology, Paraphilia, and Gender Transposition of Childhood, Adolescence, and Maturity",1986.0,,66.0,
7c18d3f992b72523c5071501c98a352d743a90d0,Seismotectonics of Zimbabwe,2009.0,,2.0,
38cfc0540a7ff7292aaca8e8f3cf4b5f9d7a0332,Principled design of the modern Web architecture,2000.0,Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium,1451.0,
96ba726db59e69b9ead2f51e2e6b950f39335556,"Prevalence and Health Characteristics of Prescription Opioid Use, Misuse, and Use Disorders Among U.S. Adolescents.",2020.0,The Journal of adolescent health : official publication of the Society for Adolescent Medicine,0.0,
08d921ea5c119ea770194bce73f726adf5614daa,Economic Forces and the Stock Market,1986.0,,1983.0,
f99316a37190461263a0f03f0337e5dc0a8bcf3c,Debrett's Etiquette and Modern Manners,1981.0,,2.0,
70a52a22450c3b167ba7f4fb0a153b62246c41b9,Conflict and Strategic Choice: How Top Management Teams Disagree,1997.0,,127.0,
10b9509d6deac5f88746e8ffbe2e3b3834dede4c,Intimate Exchanges: Using Computers to Elicit Self-Disclosure from Consumers,2000.0,,307.0,
7cd16cdb3abb5e08ba253f1c403598c055c69793,Internet of Things in Industries: A Survey,2014.0,IEEE Transactions on Industrial Informatics,1601.0,
c4eef5d415b2891db5f0120bf9cf2ceeef4f3090,A retrospective evaluation of 128 socket‐shield cases in the esthetic zone and posterior sites: Partial extraction therapy with up to 4 years follow‐up,2018.0,Clinical implant dentistry and related research,13.0,
f685ce1a6462bb04d0ebfa84022ef25659b182d5,Multi-Age Classes and High Ability Students,1999.0,,34.0,
ad10607412e196279bf056d13c8b6fa27fd61f26,TextRunner: Open Information Extraction on the Web,2007.0,HLT-NAACL,220.0,
3f7540ee7ed8fbde7d0af44542f30718e23e7100,A survey on FinTech,2018.0,J. Netw. Comput. Appl.,47.0,
cf43e14ebadf62d323f9ac963a960e055ed4e947,Exploitation of spectral redundancy in cyclostationary signals,1991.0,IEEE Signal Processing Magazine,658.0,
201b03aa6440d2874a44025cef6a481f82f8eb46,Narrowband Internet of Things 5G Performance,2019.0,2019 IEEE 90th Vehicular Technology Conference (VTC2019-Fall),21.0,
3fa28de692264c0b75643b755f47366d0a9e9a2c,Evoking emotion: affective keys to hotel loyalty,2002.0,,142.0,
d9b34ede0495607fda36392d165f4032a7b616b5,Managing Piracy: Pricing and Sampling Strategies for Digital Experience Goods in Vertically Segmented Markets,2005.0,Inf. Syst. Res.,109.0,
d779cbaaf2c37095be5f0387aa3826787dc40d01,"Masking: history, definitions, and measurement.",1999.0,Chronobiology international,187.0,
ea3a39950a4a0cb79547a23ba46510459e325cb4,Strategische Personalentwicklung in der Praxis,2015.0,,1.0,
1fc78f3307d45442cc69239eea9d987b41e47d8a,Global Business Etiquette: A Guide to International Communication and Customs,2006.0,,22.0,
3eea3c1604156b396d3a52e73f5cd33b57aabea3,Bedside lung ultrasound in the diagnosis of pneumonia in very old patients,2018.0,,0.0,
8a7e4164d954eb55617362dcb18ca1359b4b753b,Stochastic Gradient Descent Tricks,2012.0,Neural Networks: Tricks of the Trade,626.0,
4a652f3b7b4b1e7bdd9f3806675dd75c440daa06,Graph Indexing: Tree + Delta >= Graph,2007.0,VLDB,163.0,
3d5cf6cc88d7327b62ba0c4ad762bc5845c1229b,Rethinking Doctoral Publication Practices: Writing from and beyond the Thesis.,2008.0,,106.0,
e71603e2b9d6b8f622a9848ba1f9df78daa777e3,The Physical Activity Participation- Academic Performance Relationship Revisited: Perceived and Actual Performance and the Effect of Banding (Academic Tracking),2002.0,,62.0,
8eeb2aa40d61bc4e79342e8b650d69e94ddd8dd0,Controversy Total War,2014.0,,1.0,
7356504a471e3b0cc5e21c0dd4e00aa5f9cdbdf4,Computer Simulation of Liquids,1988.0,,3843.0,
3ae464801732f8b209af853f9c3d5b90c4e85504,Current evidence on physical therapy in patients with adhesive capsulitis: what are we missing?,2013.0,Clinical Rheumatology,20.0,
ebaa59bbf5ae8d13abad19b1f8efd85f1ccd1f3b,Overview of the DICOM standard,2008.0,2008 50th International Symposium ELMAR,55.0,
0fd6bdf5003c76b9b144bab1b326f9e3e7c16f22,Transmission dynamics of 2019 novel coronavirus (2019-nCoV),2020.0,,71.0,
e90e496bd64a70bdf4eeccb72e7238421036b302,Walt Disney and Europe: European Influences on the Animated Feature Films of Walt Disney,1999.0,,9.0,
6687b4e0d2bd015b1042f908e7ab72701ef12277,Tourism and Mobile Technology,2003.0,ECSCW,262.0,
947833bef0f6745648c6206fd7861ba3100fa3e8,An integrated resource management view of facilities management,1999.0,,59.0,
e63e3a0a1065d953c9fc3fb9c29e9d87ad0ef143,A Randomized Trial of a Church-Based Diabetes Self-management Program for African Americans With Type 2 Diabetes,2009.0,The Diabetes educator,81.0,
7656954cbe70bfb2dd9a9a42c1d53a9ccf090995,Intentional Behaviorism Revisited,2008.0,,2.0,
e1005d42492028f0a7fa47dd70601fee79e11771,Is the U.S. prepared for COVID-19?,2020.0,,0.0,
fc473ef3c864e037b0344f26081ad6d6acc2e686,"Global burden of diabetes, 1995-2025: prevalence, numerical estimates, and projections.",1998.0,Diabetes care,3591.0,
d69e5b400ea9cb64cf56695298e272e79a6c9644,Job Embeddedness in a Culturally Diverse Environment,2007.0,,88.0,
c6cad432a6e151b6dbfc7294bbcb279c4bfefaad,Fashion as Communication,1996.0,,184.0,
61d9006cf05d3ae49b2e1e2d9d995e4c2e38e1d8,Low Temperature Atomic Layer Deposition of Tin Oxide,2010.0,,28.0,
f72644355b92aa766bb1482ce32235dcfe35f7b7,Phenologically-tuned MODIS NDVI-based production anomaly estimates for Zimbabwe,2009.0,,112.0,
81b88f3ca681160d4b5b5e2c750617c4fae0c9ed,The Functions of Environmental Art,2014.0,Leonardo,1.0,
6efd027a7f1c558fa4c0e58805461819faef053b,The Pre-raphaelites,1992.0,,3.0,
44531809fa402308de40f9913da8101c7c3df9bd,"Cross-Sectional Analysis of the Differences Between Patients with Systemic Lupus Erythematosus in England, Brazil and Sweden",1994.0,Lupus,20.0,
4bf9b2a0a5964941eb37287627415461df1f6dbe,Green synthesis and characterization of zero-valent iron nanoparticles using stinging nettle (Urtica dioica) leaf extract,2017.0,,12.0,
5282fb67c3a9e5b2c09a5fc18a8f33906437d642,Synthetic Biology: Applications in the Food Sector,2016.0,Critical reviews in food science and nutrition,4.0,
c761e28c00fc869d29bf44fbeb4628ec9611e722,The Relevance of the Value Relevance Literature For Financial Accounting Standard Setting: Another View,2000.0,,607.0,
bb6958743473475fc5ec1962260c89aab61dd979,"An integrated scheme for the recovery of the six platinum-group metals and gold after lead fusion and perchloric acid parting and a comparison with the lead cupellation, tin, and nickel sulphide collection schemes",1977.0,,1.0,
8934946a4af72db6387f30670af225fface74155,Optimal Minimum Wage Policy in Competitive Labor Markets,2008.0,,63.0,
2f85bde798319da143812588edb84db347537be3,"On the effectiveness of Ayurvedic medical treatment: humoural pharmacology, positivistic science, and soteriology",2009.0,,1.0,
5131dd831374bee83a7f606b00ca9c9690aa0338,A Survey of Green Information-Centric Networking: Research Issues and Challenges,2015.0,IEEE Communications Surveys & Tutorials,85.0,
ce4d8e64b12b68ff1ddff9092728907a562ca670,Condition Monitoring of Rotating Electrical Machines,2008.0,,132.0,
437c55b70eb6c1bb05333e134c37cc153a6bb6e3,Primary care for adults with physical disabilities: perceptions from consumer and provider focus groups.,2008.0,Family medicine,60.0,
73f818adda65015f5cc2d48a18c7cf9169b62510,Sparsity and Incoherence in Compressive Sampling,2007.0,,1308.0,
c204ecfe028393b9c23bd347f2354afca53edcaa,"Predicting Homework Motivation and Homework Effort in Six School Subjects: The Role of Person and Family Characteristics, Classroom Factors, and School Track.",2009.0,,51.0,
e723c1e22412fec2037a1c8a4e808dcca90e1d77,Relationship between Nonmedical Prescription-Opioid Use and Heroin Use.,2016.0,The New England journal of medicine,336.0,
3278129085f151916cd83d0decf3ba7b018a17fa,The Vietnam war and postmodernity,1999.0,,3.0,
32c6c68966b8e23027b0fd0f7560cf49d4071ca3,HPLC Analysis and Standardization of Arjunarishta – An Ayurvedic Cardioprotective Formulation,2009.0,,21.0,
10bb07d30b68ee09f8d15221fadc547cb875c57f,Association study between iron-related genes polymorphisms and Parkinson's disease,2002.0,Journal of Neurology,44.0,
def53d948041f8699c0f87e89fb9dcb283949111,Introduction to Formula Sae Suspension and Frame Design,1997.0,,22.0,
81786bd40582cd485fcc69f7d191714a41e60190,Técnicas para reabilitação neurológica de hemiparéticos,2013.0,,0.0,
6fcf8b641d1166353068fd512b3167927d811ab6,Antimicrobial activity of the major components of the essential oil of Melaleuca alternifolia.,1995.0,The Journal of applied bacteriology,276.0,
